ID	appareils_refrigerateur	appareils_machine_linge	appareils_seche_linge	appareils_lave_vaisselle	appareils_ordinateurs	nombre_voitures	travail_voiture	travail_moto	travail_transports_en_commun	travail_velo_marche	travail_train	transports_lents	transports_peu_accessibles	transports_peu_confortables	transports_peu_surs	transports_couteux	critere_origine	critere_biologique	achat_supermarche	achat_boutique	achat_reseaux_locaux	achat_marche	quotidien_lumieres	quotidien_machine_pleine	quotidien_lav_temperature	affirmations_terre_limitee	affirmations_env_modifiable	affirmations_desastre	affirmations_ingeniosite	affirmations_env_malmene	affirmations_droit	affirmations_crise_exageree	affirmations_crise_majeure	enjeu_climat	enjeu_air	enjeu_dechets	enjeu_eau	enjeu_disparition_especes	enjeu_pesticides	enjeu_centrales_nucleaires	enjeu_dechets_nucleaires	enjeu_ondes	actions_entreprises	actions_citoyens	actions_pouvoirs_publics	engagement_produits	engagement_impots	engagement_temps	politique_gauche_droite	habitat_TUU2014	demo_sexe	demo_diplome	demo_revenus	demo_age	ponderation
1320	2	1	1	1	3	2	1	2	1	2	2	9	9	9	9	9	2	2	2	3	3	3	2	1	1	1	3	3	3	2	1	4	1	1	2	1	2	1	1	1	2	3	3	3	3	1	2	2	3	2	2	4	13	1	0.314756746513526
1321	2	1	1	1	2	2	2	2	1	1	2	9	9	9	9	9	2	2	2	1	3	3	1	1	1	2	4	1	3	1	1	3	2	2	2	1	1	1	2	2	2	1	3	3	3	2	2	2	2	3	1	4	6	3	0.239552398954042
1322	3	1	1	1	3	4	1	2	2	2	2	1	1	2	2	2	1	2	3	1	2	2	1	1	2	3	2	2	2	2	1	3	1	2	2	2	2	2	2	2	2	3	3	3	3	3	4	2	8	2	2	3	77	5	0.522826893095532
1323	2	1	1	1	1	2	2	2	1	2	2	9	9	9	9	9	1	2	2	3	4	4	1	1	3	2	2	3	2	1	2	3	2	2	2	2	2	2	2	2	2	3	3	3	3	2	2	3	5	5	1	4	12	2	1.31247850983376
1324	2	1	1	2	2	2	1	2	2	2	2	2	2	2	2	2	3	3	3	3	4	3	1	2	2	3	3	2	2	2	2	3	2	2	2	2	2	2	2	3	2	3	3	3	3	3	3	3	3	1	2	2	77	1	1.34690034698433
1325	2	1	2	2	6	2	2	2	2	2	2	9	9	9	9	9	1	2	3	3	4	4	1	1	2	2	4	2	2	1	2	3	1	2	2	1	2	2	1	2	2	2	3	3	3	2	3	1	6	5	2	1	7	5	3.55421452544169
1326	2	1	1	1	2	3	1	2	2	2	2	2	2	2	2	2	2	3	2	1	3	3	1	1	1	2	3	1	4	1	1	4	2	2	2	2	2	2	2	2	2	2	3	3	3	2	4	3	9	0	2	2	12	2	0.201158636528643
1327	2	8	8	8	6	3	2	1	2	2	2	2	2	2	2	1	2	3	3	2	3	3	9	9	9	3	2	2	2	3	3	3	1	1	1	1	1	1	2	1	1	1	1	2	2	2	1	2	6	3	2	1	8	3	2.5752351987851
1328	3	1	1	1	2	4	1	2	2	2	2	2	1	2	2	2	3	3	2	2	3	3	2	2	3	2	2	5	3	2	2	3	2	3	2	2	2	2	2	2	2	5	3	3	3	2	3	2	7	2	1	2	12	4	0.335379975873205
1329	2	1	2	2	1	3	2	2	2	1	2	2	2	2	2	2	2	2	3	2	3	2	1	1	1	2	3	2	5	1	1	4	1	2	2	2	2	1	1	2	2	2	3	3	3	2	5	2	4	1	2	4	7	1	0.659458110518175
1330	3	1	2	1	3	2	2	2	2	2	2	2	1	2	2	2	1	2	2	3	3	3	1	1	1	3	3	3	3	2	1	2	2	2	3	2	2	2	1	1	1	2	2	3	3	2	4	2	7	2	1	1	11	3	3.37595721308221
1331	3	1	1	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	3	4	2	1	1	1	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	3	3	1	1	9	2	2.11870517257874
1332	2	1	2	1	1	3	2	2	2	1	2	1	2	2	2	1	3	3	2	1	4	4	1	1	1	2	4	1	3	1	1	4	1	3	2	1	1	1	2	3	3	3	3	3	3	1	1	2	6	3	1	4	13	4	0.202473634212711
1333	2	1	2	1	1	3	1	2	2	2	2	2	1	2	2	2	2	2	2	2	3	3	1	1	1	1	4	1	3	1	1	3	1	2	1	2	1	2	1	1	1	2	1	2	3	2	3	2	6	2	1	4	12	3	0.302884055914225
1334	2	1	2	2	2	2	1	2	2	2	2	2	1	2	2	2	3	2	2	2	3	2	1	1	1	2	4	2	3	1	2	3	2	2	2	3	2	1	3	2	2	3	3	3	3	2	2	2	6	3	2	4	3	1	0.048765466472721
1335	2	1	1	1	2	4	1	2	2	1	2	2	1	2	2	2	2	1	2	3	3	4	1	1	1	2	3	2	2	2	1	4	2	2	1	1	1	1	1	2	1	3	3	3	3	1	2	1	5	1	2	4	11	2	0.0336291800133268
1336	2	1	2	2	1	2	2	2	2	2	2	2	1	2	2	1	4	4	2	4	4	1	1	1	1	2	3	2	2	2	1	3	3	2	2	3	2	2	2	2	2	2	3	3	3	3	3	2	9	1	1	1	6	1	3.06763931320118
1337	2	1	2	1	1	3	1	2	2	1	2	2	2	2	2	2	1	1	1	3	3	2	1	1	1	1	3	2	3	1	1	3	2	2	2	2	2	2	2	2	2	3	3	3	3	2	2	2	4	3	2	4	88	2	0.555898623693997
1338	2	1	1	1	1	4	1	2	2	2	2	2	1	2	2	2	3	1	1	2	3	3	1	1	1	1	3	1	2	1	1	3	1	2	2	1	1	1	1	1	1	1	3	3	3	1	3	1	11	0	2	2	77	2	1.14388551210769
1339	2	1	1	1	1	3	1	2	2	2	2	2	2	2	2	2	3	3	2	3	4	3	1	1	1	2	3	1	4	1	1	4	1	2	1	1	1	1	2	2	1	1	3	3	3	3	3	3	6	0	2	3	12	3	0.479440905426821
1340	3	1	1	1	6	4	2	2	2	2	2	2	1	2	2	2	2	2	2	1	3	3	1	1	2	2	4	1	5	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	3	1	3	2	3	0	1	1	11	4	0.335362090331281
1341	2	1	1	1	1	3	1	2	2	2	2	1	2	2	2	2	2	2	4	3	2	4	1	1	2	2	3	2	2	2	1	3	2	2	1	2	1	1	1	2	2	2	3	3	3	2	5	2	6	0	1	4	77	1	1.03557261172066
1342	2	1	1	1	1	3	1	1	2	2	2	2	2	2	2	2	2	2	3	1	3	3	1	2	3	1	3	2	3	2	1	4	2	2	2	2	2	2	2	3	3	3	3	3	3	2	3	2	6	3	1	3	11	3	0.842196992294314
1343	2	1	2	1	2	3	1	2	1	1	2	9	9	9	9	9	2	2	3	1	3	3	1	1	1	1	3	2	5	1	1	4	2	1	1	1	1	1	1	1	1	1	3	3	3	1	1	2	8	5	2	4	12	4	0.895446423450232
1344	2	1	2	1	2	2	1	2	2	2	2	2	1	2	2	2	1	2	2	1	2	2	1	1	2	2	4	1	3	1	1	3	1	1	2	2	2	2	1	2	1	3	3	2	2	3	3	2	11	1	2	2	10	2	0.4408173024033
1345	2	1	2	1	1	3	1	2	2	2	2	2	1	2	2	2	3	1	1	2	3	3	1	2	1	2	4	3	3	1	1	4	1	1	1	1	1	1	1	1	1	1	3	3	3	2	2	2	6	3	1	4	77	3	0.787929919028601
1346	2	1	2	2	1	2	1	2	2	2	2	2	1	2	2	2	2	2	2	2	3	3	2	3	2	1	3	1	5	2	1	4	2	2	2	2	2	2	2	2	2	2	3	3	3	2	5	2	6	0	2	2	5	3	0.381640581544159
1347	2	1	2	1	4	4	1	2	1	2	2	9	9	9	9	9	2	2	2	3	4	4	1	2	3	5	3	1	5	1	1	4	2	1	1	1	1	1	1	1	1	1	3	4	3	2	5	2	3	0	2	3	12	2	0.367044565727214
1348	2	1	2	2	4	2	1	2	1	1	2	9	9	9	9	9	1	1	2	2	3	3	5	5	5	5	1	5	5	5	5	3	5	5	2	3	5	5	5	5	5	5	4	4	4	4	1	1	3	3	2	3	5	1	1.35352894685061
1349	2	1	2	2	1	2	2	2	2	1	2	2	2	2	2	2	2	1	3	4	2	4	1	3	1	1	3	1	5	1	1	4	2	1	1	1	1	1	1	2	2	3	3	3	3	1	2	1	6	3	2	3	7	1	0.977195902016127
1350	3	1	1	1	1	4	1	2	2	2	2	2	2	2	2	2	3	3	1	2	3	3	1	2	2	2	4	1	1	1	1	2	2	2	2	2	2	2	2	2	2	3	4	3	3	3	3	2	8	0	2	1	4	3	0.978720070068036
1351	2	1	2	1	8	2	1	2	2	2	2	2	2	2	2	2	2	3	2	2	3	2	3	2	3	2	3	2	4	3	3	2	3	2	2	3	2	3	2	3	2	2	2	3	2	3	2	3	7	1	2	1	7	3	0.579512757795923
1352	2	1	2	1	3	3	2	2	2	2	2	1	1	2	2	2	2	3	2	3	3	2	2	2	4	3	3	3	2	2	2	3	3	3	2	2	2	2	1	2	1	3	3	3	3	4	4	2	7	3	2	1	13	2	0.800434669611758
1353	3	1	1	1	1	3	1	2	2	2	2	2	1	2	2	2	3	4	2	3	4	3	1	1	2	3	4	1	3	2	1	3	2	2	2	2	1	1	2	2	2	1	3	2	3	2	4	3	8	0	1	2	77	1	2.09054752421374
1354	2	1	1	1	3	4	1	2	2	2	2	2	2	2	2	2	2	2	2	3	4	4	1	2	3	3	4	1	5	1	1	3	2	2	1	1	1	1	1	3	1	3	3	3	3	2	5	2	6	0	2	1	9	3	0.765580223218857
1355	3	1	2	1	2	3	1	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	1	2	4	2	3	2	5	1	1	3	1	2	2	2	2	1	1	2	1	5	3	3	3	4	4	2	4	1	1	1	11	2	1.15777256871681
1356	2	1	2	1	2	3	1	1	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	2	1	1	4	1	3	1	1	3	1	1	1	1	1	1	1	3	3	3	2	1	3	1	2	1	8	0	1	3	88	1	1.69224461138616
1357	2	2	2	1	2	4	2	2	2	2	2	1	1	2	2	2	2	4	3	3	3	3	1	1	2	2	2	2	2	2	3	2	4	4	2	1	2	1	2	3	3	3	3	3	3	2	3	2	9	2	1	4	11	4	0.033150425777138
1358	2	1	1	1	1	3	1	2	2	2	2	2	1	2	2	2	2	2	3	2	3	2	1	1	3	3	3	2	4	2	2	4	2	2	2	2	2	2	2	2	2	2	3	2	3	2	3	2	7	0	2	3	13	2	0.762590341405126
1359	2	1	2	1	1	1	2	2	1	2	2	9	9	9	9	9	3	2	2	1	2	3	1	2	2	3	3	1	2	2	1	3	3	2	3	3	2	1	2	2	1	3	3	3	3	2	3	2	6	5	2	4	13	4	0.775485269260161
1360	2	1	2	2	2	3	2	2	2	2	2	2	1	2	2	2	2	2	1	2	2	4	1	1	1	2	4	2	2	2	1	4	2	1	1	1	1	1	1	1	1	1	1	1	1	2	4	2	6	0	2	1	3	3	0.490465077294058
1361	2	1	2	2	2	2	1	2	1	2	2	9	9	9	9	9	2	2	2	2	3	2	1	5	3	2	3	2	2	2	1	4	1	1	1	1	1	1	1	1	1	1	3	2	2	2	4	1	6	3	1	4	7	2	1.14755508060945
1362	2	1	2	1	2	2	1	2	2	2	2	1	2	2	2	2	5	1	5	2	1	1	1	5	1	5	4	1	5	1	1	3	1	1	1	1	1	1	1	1	1	1	3	3	3	5	4	4	6	2	1	2	13	1	6.9402418151769
1363	9	1	2	1	2	2	1	2	2	1	2	2	2	2	2	1	1	1	9	1	5	1	1	1	1	5	2	1	1	1	1	1	5	3	4	5	5	3	3	1	2	4	3	3	3	2	5	2	8	2	2	1	4	2	1.4642134893262
1364	2	8	8	8	6	3	1	2	1	1	2	9	9	9	9	9	3	4	2	2	3	3	1	2	4	3	2	2	2	3	1	5	2	2	2	2	1	2	3	3	2	4	3	3	2	2	4	3	7	3	2	4	12	2	0.428733528115949
1365	2	1	2	2	1	2	2	2	2	2	2	9	9	9	9	9	1	3	2	2	4	2	2	1	2	2	2	2	3	2	1	2	2	2	1	1	1	1	1	1	1	1	3	3	4	2	3	2	6	0	2	1	6	3	0.512742827285292
1366	2	1	2	1	2	3	2	2	2	1	1	2	2	2	2	2	2	2	3	2	2	3	1	1	2	1	4	2	2	1	5	4	1	1	1	1	1	1	1	2	2	3	3	3	3	2	2	1	2	1	2	3	11	1	1.14144028238299
1367	2	1	2	2	2	2	2	2	2	2	2	9	9	9	9	9	2	2	1	1	4	3	3	9	3	1	5	1	4	1	5	5	2	4	4	4	5	4	2	3	3	2	3	3	3	1	4	1	8	0	1	4	11	5	0.172539749144186
1368	3	1	2	1	3	2	2	2	2	2	2	9	9	9	9	9	3	3	1	4	3	2	1	2	3	2	4	2	3	3	1	3	2	2	1	2	2	2	1	3	3	2	3	3	3	2	3	2	9	3	1	1	11	5	3.13727036440595
1369	2	1	2	2	1	1	1	2	2	2	2	1	2	2	2	2	2	2	1	9	9	9	1	1	1	2	2	2	2	1	1	4	2	2	1	1	1	1	1	1	1	1	3	3	3	2	2	4	7	3	2	1	4	5	1.62971269433341
